,nav,cash,SH601928_P,SZ000598_P,SZ002249_P,SH600823_P,SH601003_P,SZ002242_P,SH600169_P,SH600410_P,SZ002491_P,SH600777_P,SZ000598_A,SH600392_A,SZ002129_A,SZ300010_A,SZ002699_A,SH603885_A,SZ000156_A,SZ000636_A,SZ002373_A,SH600266_A,SH600779_A,SZ002831_A,SH600717_A,SZ002110_A,SZ002266_A,SH600614_A,SZ002517_A,SH601928_A,SZ002434_A,SH600021_A,SZ002354_A,SZ002477_A,SZ000717_A,SZ300159_A,SZ000027_A,SH600643_A,SH600743_A,SZ002672_A,SH600823_A,SH601003_A,SZ002242_A,SH600169_A,SH600410_A,SZ002491_A,SH600777_A,SH601811_A,SZ000887_A,SZ002249_A,SH600939_A,SH600801_A,SZ002385_A,SZ002470_A,SZ002276_A,SZ002506_A,SH600648_A,SZ002503_A,SZ002368_A,SZ000998_A,SH601168_A,SH603228_A
2019-01-02,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,992145.8801011107,-57.12505292613059,134670.30373702385,12511.353839303314,71009.75603501651,32470.09732457952,58979.30331553134,68938.54604159473,46437.16016245041,26300.73512570561,57027.68735565233,25831.748907575275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04,1013638.5948722914,2372.890826204689,133626.78659399855,12260.24667720849,69626.01803886073,31866.28421048769,58585.88234104895,70000.33938236487,45598.561084116336,26300.730331492352,61128.7813041903,25441.214156151695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,1044389.8879360885,3870.2718868019683,136759.76947278905,12260.24667720849,69151.94074346102,31745.44383467937,58971.37462664963,70005.2406746491,45598.64313949414,25844.104824987247,59300.6232166451,25830.85273171506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-08,1048544.2006624107,9317.417248854843,140918.73756226065,12310.491100888981,69394.26224891677,31745.44383467937,58971.37462664963,69997.73412149797,45598.64313949414,25385.13705652974,58401.36231903174,24461.254903522015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-09,1055403.8142461618,1603.0344246143823,143036.5137473232,12762.205919700229,68010.03396226338,32831.78982141744,60513.0385997809,67879.1437964628,46212.468404154846,24924.386210994784,57937.99160775878,25195.95367297359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-10,1051854.9724021668,3333.8427061633743,145187.2063679751,12762.205919700229,68000.66262196688,32831.82525312197,60529.65311341237,67879.1437964628,45595.91000547703,25230.7495998339,57933.96268726366,24461.522569049343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-11,1066977.030834705,1945.3716820707018,146075.67100964385,12912.94063528724,67073.73586550602,32952.49493105501,60515.976044244744,68939.7380696151,46001.53591356125,24924.517967398817,57023.43086637859,24705.778959462747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-14,1088308.970924835,3825.3027087243845,148163.37565680966,12963.18554048291,57366.477113348075,33556.020479242834,61297.57620211,71066.33612021817,46739.0813056642,25231.00945980347,57942.7065106893,25440.216017435814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-15,1089873.027137913,10488.478383522452,153381.49080843225,12963.18554048291,57366.477113348075,33556.020479242834,60899.18249720638,71066.33612021817,42163.33300424769,25537.216945228323,58850.00086333748,25242.861110755417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-16,1088228.6658045417,5137.514702049708,154587.81685223247,13063.037669225823,59447.65297113523,33797.396656363075,61292.60445461963,72124.06950894924,42892.08083923567,24465.90492113522,58386.21047226851,25391.38642815091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-17,1089252.6126095795,59.31204334975769,151397.51390492613,13113.794580608064,58747.82700282627,34038.80663247995,60135.504625541704,72120.55874829483,45377.539512215095,24619.09506408035,59754.92186507167,25489.48182263756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-18,1092314.5589872112,4505.666460491709,149300.88661216947,13113.669693004074,56666.45716454852,33917.99427313409,60522.31665189045,72121.44780471368,45799.174346419626,25536.601453419906,59754.92186507167,24559.67939421469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-21,1093488.7516293416,1126.108231868463,149353.19079994556,13113.28012179977,58979.71118661425,33918.06504049715,57426.87745964126,71064.11778739831,46002.00106513548,25995.042932752207,61587.62887438925,24756.92168847646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-22,1076859.5929934587,2012.052214849794,146205.86767689037,13163.913638187998,58746.22749902139,33918.13580815552,58214.26416976022,72121.15145013858,46106.08940675228,25995.042932752207,60678.593740779725,24707.772178162228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-23,1097582.948041907,148.9350344865593,144035.17603594135,12913.075988910628,59904.40829579686,33556.020479242834,58976.30858209843,71062.10736741505,46327.46619539931,26454.222628441763,61138.40243531409,25098.37533295743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-24,1098636.9601525585,7660.126275420551,144035.17603594135,12913.075988910628,58520.70732722846,34280.145085555945,58976.30858209843,71058.15424759257,46431.56680181461,26454.222628441763,55654.580999035745,25877.594562283113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
