,nav,cash,SH600718_P,SZ002603_P,SH600640_P,SH600062_P,SZ300413_P,SH600126_P,SH600801_P,SH600770_P,SZ000718_P,SH600458_P,SZ002603_A,SZ000158_A,SZ002051_A,SH600525_A,SZ002583_A,SH600258_A,SZ002385_A,SH600240_A,SH600718_A,SH600183_A,SH601200_A,SZ002489_A,SZ000008_A,SH603806_A,SZ002589_A,SZ000877_A,SH603659_A,SH601020_A,SH601128_A,SZ002127_A,SZ002244_A,SZ000541_A,SH603233_A,SH600639_A,SH601179_A,SH600151_A,SZ000636_A,SH600393_A,SH600062_A,SZ300413_A,SH600126_A,SH600801_A,SH600770_A,SZ000718_A,SH600458_A,SH600006_A,SZ002266_A,SH603056_A,SH600640_A,SZ002470_A,SZ000596_A,SH601966_A,SH601003_A,SH600380_A,SZ002506_A,SH601872_A,SH600970_A,SZ002191_A,SH600545_A,SZ002368_A
2019-01-02,1000000.0,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,989242.4965455595,348.4964203141717,27398.4942274464,161424.30521324792,42576.79451112654,13921.61444503452,36218.15088048423,52800.72542233526,8856.309716107644,63260.500944611376,7466.22277909096,18792.42360258817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-04,1011726.8378886998,3651.7302202149444,27398.4942274464,161397.28944550888,42576.79451112654,13604.423896948727,34919.46290448889,51629.297344967104,9146.981317205953,62962.30952638638,7370.5863985709375,19477.835759936694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,1031910.9042772074,3079.636948985948,28342.453245352408,161388.85637478266,41715.27246208524,13605.226945738848,34919.46290448889,51872.93070611721,9147.101639038956,61470.5795326708,7515.355888314194,19340.117638835123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-08,1027073.5137889792,3933.282923446949,28658.59319492778,163089.15072693888,41715.36067931298,13605.226945738848,34922.535252800786,52108.74562084957,9002.183778667872,59978.52183594848,7563.199737715297,19340.21409083016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-09,1027968.9370288859,782.6013931344404,28658.37263380619,163070.88261385766,42577.44391432342,13763.496043797482,34920.81561336506,52344.5078296813,8856.64004710571,60276.954604787265,7607.582745791869,19340.21409083016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-10,1025882.0194308842,448.17576480319894,28657.842763035576,163095.42975622305,42573.28316557954,13763.080750186251,34923.753573444104,52580.233898636856,8711.658813939479,60575.39846609252,7633.005846919384,19477.378729772216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-11,1032643.6480626819,1883.495454169567,28657.842763035576,163059.12727112244,42145.99932801397,13921.277080648162,34922.128043031975,52580.233898636856,8711.685201541777,59381.85792567436,7726.948018995724,19340.08601543961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-14,1035864.647939668,1975.7198386961572,28973.476561623764,163093.4681395912,42144.78126224372,13921.277080648162,34922.26265678082,52113.938812133005,8711.685201541777,59381.86848739481,7703.245724458927,19340.182467119226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-15,1041437.3939838189,541.3836810215774,28972.242033896968,156408.8491208774,40853.640059461766,14394.857579481006,36214.98180576297,52818.72866416316,8711.351221682437,59381.87904911901,7749.780554124426,19339.92948115475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
